Year,Component,Water type,Main soil type region,Company type,Season,Number of companies,Gem,Std,P10,P25,P50,P75,P90,Unit,DG,Perc dg
2022,Aluminum (Al),leaching water,clay,arable farming,winter,30,17,48,<dg,<dg,<dg,<dg,14,µg/l,10.0,77.0
2022,Aluminum (Al),leaching water,clay,dairy cattle,winter,58,61,168,<dg,<dg,<dg,16,185,µg/l,10.0,64.0
2022,Aluminum (Al),leaching water,clay,animal farm,winter,13,62,150,<dg,<dg,<dg,12,268,µg/l,10.0,69.0
2022,Aluminum (Al),leaching water,clay,all,winter,101,41,128,<dg,<dg,<dg,13,130,µg/l,10.0,68.0
2022,Aluminum (Al),leaching water,loess,arable farming,winter,19,33,66,<dg,<dg,<dg,27,61,µg/l,10.0,63.0
2022,Aluminum (Al),leaching water,loess,dairy cattle,winter,20,15,12,<dg,<dg,13,20,24,µg/l,10.0,45.0
2022,Aluminum (Al),leaching water,loess,all,winter,48,29,49,<dg,<dg,13,28,65,µg/l,10.0,48.0
2022,Aluminum (Al),leaching water,peat,dairy cattle,winter,55,944,2147,55,141,428,1100,1692,µg/l,10.0,5.5
2022,Aluminum (Al),leaching water,peat,all,winter,55,944,2147,55,141,428,1100,1692,µg/l,10.0,5.5
2022,Aluminum (Al),leaching water,sand,arable farming,summer,36,986,795,113,363,709,1679,2109,µg/l,10.0,0.0
2022,Aluminum (Al),leaching water,sand,dairy cattle,summer,147,696,655,66,215,432,1116,1514,µg/l,10.0,14.0
2022,Aluminum (Al),leaching water,sand,animal farm,summer,32,711,539,40,374,625,926,1675,µg/l,10.0,6.2
2022,Aluminum (Al),leaching water,sand,all,summer,215,765,675,74,239,555,1205,1829,µg/l,10.0,19.0
2022,Aluminum (Al),ditch water,clay,arable farming,winter,30,<dg,26,<dg,<dg,<dg,<dg,17,µg/l,10.0,83.0
2022,Aluminum (Al),ditch water,clay,arable farming,summer,29,<dg,<dg,<dg,<dg,<dg,<dg,<dg,µg/l,10.0,90.0
2022,Aluminum (Al),ditch water,clay,dairy cattle,winter,57,12,25,<dg,<dg,<dg,<dg,28,µg/l,10.0,75.0
2022,Aluminum (Al),ditch water,clay,dairy cattle,summer,52,<dg,<dg,<dg,<dg,<dg,<dg,<dg,µg/l,10.0,92.0
2022,Aluminum (Al),ditch water,clay,animal farm,winter,13,19,40,<dg,<dg,<dg,<dg,52,µg/l,10.0,77.0
2022,Aluminum (Al),ditch water,clay,animal farm,summer,12,<dg,<dg,<dg,<dg,<dg,<dg,<dg,µg/l,10.0,92.0
2022,Aluminum (Al),ditch water,clay,all,summer,93,<dg,<dg,<dg,<dg,<dg,<dg,<dg,µg/l,10.0,91.0
2022,Aluminum (Al),ditch water,clay,all,winter,100,12,28,<dg,<dg,<dg,<dg,29,µg/l,10.0,78.0
2022,Aluminum (Al),ditch water,peat,dairy cattle,summer,54,25,22,<dg,<dg,19,40,59,µg/l,10.0,31.0
2022,Aluminum (Al),ditch water,peat,dairy cattle,winter,55,155,196,21,38,86,223,310,µg/l,10.0,7.3
2022,Aluminum (Al),ditch water,peat,all,winter,55,155,196,21,38,86,223,310,µg/l,10.0,7.3
2022,Aluminum (Al),ditch water,peat,all,summer,54,25,22,<dg,<dg,19,40,59,µg/l,10.0,31.0
2022,Aluminum (Al),ditch water,sand,arable farming,winter,19,449,341,79,112,551,687,730,µg/l,10.0,5.3
2022,Aluminum (Al),ditch water,sand,arable farming,summer,15,72,54,<dg,35,64,88,168,µg/l,10.0,20.0
2022,Aluminum (Al),ditch water,sand,dairy cattle,winter,31,489,358,36,218,444,713,985,µg/l,10.0,3.2
2022,Aluminum (Al),ditch water,sand,dairy cattle,summer,26,99,144,<dg,<dg,23,93,350,µg/l,10.0,27.0
2022,Aluminum (Al),ditch water,sand,all,winter,59,496,442,25,104,454,685,984,µg/l,10.0,5.1
2022,Aluminum (Al),ditch water,sand,all,summer,49,118,140,<dg,15,64,193,344,µg/l,10.0,27.0
2022,Ammonium (NH4),leaching water,clay,arable farming,winter,30,0.59,0.71,0.08,0.14,0.32,0.56,17,mg/l,0.06,0.0
2022,Ammonium (NH4),leaching water,clay,dairy cattle,winter,58,0.99,11,0.1,0.23,0.63,14,24,mg/l,0.06,17.0
2022,Ammonium (NH4),leaching water,clay,animal farm,winter,13,0.92,0.95,0.14,0.15,0.33,21,23,mg/l,0.06,0.0
2022,Ammonium (NH4),leaching water,clay,all,winter,101,0.8,0.97,0.1,0.17,0.36,0.98,22,mg/l,0.06,0.99
2022,Ammonium (NH4),leaching water,loess,arable farming,winter,19,0.07,0.1,<dg,<dg,<dg,0.11,0.19,mg/l,0.06,58.0
2022,Ammonium (NH4),leaching water,loess,dairy cattle,winter,20,0.07,0.07,<dg,<dg,0.07,0.11,0.16,mg/l,0.06,45.0
2022,Ammonium (NH4),leaching water,loess,all,winter,48,0.09,0.13,<dg,<dg,0.07,0.13,0.19,mg/l,0.06,46.0
2022,Ammonium (NH4),leaching water,peat,dairy cattle,winter,55,4.7,3.8,0.87,1.8,3.6,6.7,9.6,mg/l,0.06,0.0
2022,Ammonium (NH4),leaching water,peat,all,winter,55,4.7,3.8,0.87,1.8,3.6,6.7,9.6,mg/l,0.06,0.0
2022,Ammonium (NH4),ditch water,clay,arable farming,winter,30,0.79,0.86,0.15,0.2,0.4,11,1.8,mg/l,0.06,0.0
2022,Ammonium (NH4),ditch water,clay,arable farming,summer,29,1.6,21,0.17,0.3,0.61,2,5.5,mg/l,0.06,0.0
2022,Ammonium (NH4),ditch water,clay,dairy cattle,summer,52,1,1.6,0.07,0.1,0.21,11,3,mg/l,0.06,3.8
2022,Ammonium (NH4),ditch water,clay,dairy cattle,winter,57,14,12,0.24,0.49,0.99,1.8,3,mg/l,0.06,0.0
2022,Ammonium (NH4),ditch water,clay,animal farm,winter,13,0.91,0.82,0.19,0.25,0.56,11,24,mg/l,0.06,0.0
2022,Ammonium (NH4),ditch water,clay,animal farm,summer,12,0.61,1.8,<dg,0.1,0.13,0.34,0.8,mg/l,0.06,8.3
2022,Ammonium (NH4),ditch water,clay,all,summer,93,12,19,0.09,0.15,0.35,14,4.2,mg/l,0.06,3.2
2022,Ammonium (NH4),ditch water,clay,all,winter,100,11,11,0.16,0.27,0.69,1.5,2.5,mg/l,0.06,0.0
2022,Ammonium (NH4),ditch water,peat,dairy cattle,winter,55,19,14,0.44,0.91,14,2.5,3.6,mg/l,0.06,0.0
2022,Ammonium (NH4),ditch water,peat,dairy cattle,summer,54,0.5,0.8,<dg,0.09,0.15,0.65,14,mg/l,0.06,11.0
2022,Ammonium (NH4),ditch water,peat,all,winter,55,19.0,14,0.44,0.91,14,2.5,3.6,mg/l,0.06,0.0
2022,Ammonium (NH4),ditch water,peat,all,summer,54,0.5,0.8,<dg,0.09,0.15,0.65,14.0,mg/l,0.06,11.0
2022,Ammonium (NH4),ditch water,sand,arable farming,summer,15,2.8,7.5,0.16,0.25,0.46,13.0,13.0,mg/l,0.06,0.0
2022,Ammonium (NH4),ditch water,sand,arable farming,winter,19,17.0,1.8,0.17,0.25,13,2.5,31.0,mg/l,0.06,0.0
2022,Ammonium (NH4),ditch water,sand,dairy cattle,winter,31,13.0,13,0.17,0.48,0.72,17.0,33.0,mg/l,0.06,0.0
2022,Ammonium (NH4),ditch water,sand,dairy cattle,summer,26,0.81,12,0.08,0.09,0.33,0.91,23.0,mg/l,0.06,3.8
2022,Ammonium (NH4),ditch water,sand,all,summer,49,1.6,4,0.07,0.15,0.38,1.8,4.5,mg/l,0.06,2.0
2022,Ammonium (NH4),ditch water,sand,all,winter,59,13.0,13,0.18,0.37,0.81,1.8,31.0,mg/l,0.06,0.0
2022,Ammonium (NH4),leaching water,sand,arable farming,summer,36,13.0,19,0.07,0.15,0.42,17.0,4.1,mg/l,0.06,5.6
2022,Ammonium (NH4),leaching water,sand,dairy cattle,summer,147,13.0,1.6,0.1,0.21,0.65,1.6,3.2,mg/l,0.06,14.0
2022,Ammonium (NH4),leaching water,sand,animal farm,summer,32,12.0,22,0.11,0.17,0.34,0.97,3.5,mg/l,0.06,0.0
2022,Ammonium (NH4),leaching water,sand,all,summer,215,13.0,1.8,0.09,0.17,0.47,1.5,3.6,mg/l,0.06,19.0
2022,Arsenic (As),leaching water,clay,arable farming,winter,30,3.9,4.6,0.78,11,1.8,4.5,9.1,µg/l,0.2,0.0
2022,Arsenic (As),leaching water,clay,dairy cattle,winter,58,5.7,3.8,14,24,5.3,7.7,11.0,µg/l,0.2,0.0
2022,Arsenic (As),leaching water,clay,animal farm,winter,13,4.6,4.9,0.89,19,2.7,5.8,9.6,µg/l,0.2,0.0
2022,Arsenic (As),leaching water,clay,all,winter,101,4.7,4.4,0.83,1.5,3.5,6.9,10.0,µg/l,0.2,0.0
2022,Arsenic (As),leaching water,loess,arable farming,winter,19,0.25,0.32,<dg,<dg,<dg,0.24,0.36,µg/l,0.2,47.0
2022,Arsenic (As),leaching water,loess,dairy cattle,winter,20,0.22,<dg,<dg,<dg,0.21,0.27,0.41,µg/l,0.2,40.0
2022,Arsenic (As),leaching water,loess,all,winter,48,0.29,0.33,<dg,<dg,0.21,0.3,0.53,µg/l,0.2,42.0
2022,Arsenic (As),leaching water,peat,dairy cattle,winter,55,4.3,31,17,23,3.7,4.6,8.9,µg/l,0.2,0.0
2022,Arsenic (As),leaching water,peat,all,winter,55,4.3,31,17,23,3.7,4.6,8.9,µg/l,0.2,0.0
2022,Arsenic (As),leaching water,sand,arable farming,summer,36,2.9,22,0.58,12,24,3.6,6.2,µg/l,0.2,2.8
2022,Arsenic (As),leaching water,sand,dairy cattle,summer,147,5.2,5.7,0.81,1.5,31,7.1,11.0,µg/l,0.2,0.68
2022,Arsenic (As),leaching water,sand,animal farm,summer,32,3.5,3.5,11,1.5,19,4.4,6.9,µg/l,0.2,0.0
2022,Arsenic (As),leaching water,sand,all,summer,215,4.3,4.8,0.78,14,2.8,5.5,9.1,µg/l,0.2,0.93
2022,Arsenic (As),ditch water,clay,arable farming,summer,29,15.0,19,2.7,3.8,6.9,19.0,31.0,µg/l,0.2,0.0
2022,Arsenic (As),ditch water,clay,arable farming,winter,30,3.8,3.6,0.81,0.94,21,6.0,7.5,µg/l,0.2,0.0
2022,Arsenic (As),ditch water,clay,dairy cattle,summer,52,7.3,5.6,14,19,6.4,11.0,14.0,µg/l,0.2,0.0
2022,Arsenic (As),ditch water,clay,dairy cattle,winter,57,3.5,2.5,0.9,14,2.6,5.4,7.2,µg/l,0.2,0.0
2022,Arsenic (As),ditch water,clay,animal farm,winter,13,22.0,2.8,0.97,12,13,1.5,4.1,µg/l,0.2,0.0
2022,Arsenic (As),ditch water,clay,animal farm,summer,12,3.9,3.7,12,14,24,5.2,9.8,µg/l,0.2,0.0
2022,Arsenic (As),ditch water,clay,all,summer,93,10.0,14,1.5,2.6,6,12.0,23.0,µg/l,0.2,0.0
